filename,publication_year,study_type,n_patients,patient_population,mean_age,percent_male,disease_phenotype,scoring_systems_used,has_van_assche_magnificd_comparison,mri_field_strength,mri_sequences_used,fibrosis_reported,percent_fibrosis,percent_abscess,percent_healing,clinical_remission_definition,treatment_studied,followup_duration_months,extraction_confidence,data_richness_score,evidence_snippet,extraction_notes,n_crosswalk_comparisons,n_scoring_systems_detailed,extraction_timestamp
Current_practice_and_innovations_in_diagnosing_perianal_fistulizing_Crohn's_disease_(pfCD)_a_narrati.pdf,2025.0,review,,,,,perianal fistulizing,"MAGNIFI-CD, Van Assche Index, modified Van Assche Index (mVAI), Paediatric MRI-Based Perianal Crohn Disease (PEMPAC) Index",False,,"T2-weighted, gadolinium-enhanced T1-weighted, DWI, DCE",True,,,,,,,0.7,2,"Several MRI-based activity indices have been developed... including the Van Assche Index (VAI), modified Van Assche Index (mVAI), and Paediatric MRI-Based Perianal Crohn Disease (PEMPAC) Index. The Magnetic resonance Novel Index for Fistula Imaging in Crohn’s Disease (MAGNIFI-CD) has been developed to quantify fistula activity and inflammation.","This is a narrative review paper, not an original study. It mentions multiple MRI scoring systems but does not report patient-level data, mean scores, or correlations between systems. The paper discusses limitations of existing indices and desired properties for an ideal scoring system.",0,4,2025-12-02 15:03:31.419995
An_Open_Natural_Language_Processing_Development_Framework_for_EHR-based_Clinical_Research_A_case_dem.pdf,,methodology development / case study,,,,,,,False,,,,,,,,,,1.0,1,"This paper describes an open NLP development framework for EHR-based clinical research, demonstrated with a COVID-19 use case. It does not mention Crohn's disease, MRI scoring systems, or any related clinical data.","The paper is about natural language processing for COVID-19 symptom extraction from EHRs. It contains no information relevant to MRI-based Crohn's disease research, scoring systems, or patient outcomes. All fields related to the target domain are null.",0,0,2025-12-02 15:03:31.419995
Identification_of_spontaneous_patient-reported_complaints_related_to_perianal_fistula_in_patients_wi.pdf,2024.0,cross-sectional,123.0,adult,,25.2,perianal fistulizing,,False,,,,,11.4,,,seton,,0.7,2,"This study focuses on patient-reported complaints related to perianal fistula in Crohn's disease patients. It reports 123 patients (92 women, median age 41 years), 36 with seton, and identifies 19 complaints reported by >10% of patients. No MRI scoring systems are mentioned.","Paper is a patient-reported outcomes study focusing on quality of life complaints, not on MRI scoring systems or correlations between scoring systems. Mentions MRI only in passing as a diagnostic tool but provides no scoring data.",0,0,2025-12-02 15:03:31.419995
A_new_protocolized_treatment_strategy_optimizing_medical_and_surgical_care_leads_to_improved_healing.pdf,2025.0,prospective,60.0,adult,40.0,52.0,perianal fistulizing,"Van Assche Index, MAGNIFI-CD, Fibrosis Score",False,,,True,,,71.0,absence of draining perianal fistulas on physical examination despite gentle finger compression and no seton in situ,"multidisciplinary protocol (biologics: infliximab, adalimumab, ustekinumab, vedolizumab; surgical: seton, closure, ablative techniques)",22.0,0.9,3,"Radiologic disease activity was assessed using validated scoring indices: Van Assche Index (VAI); VAI-inflammatory subscore (VAI infl); Magnetic Resonance Index for Assessing Fistulas in Patients with Crohn’s Disease (MAGNIFI-CD); and Fibrosis Score (FS). Radiologic remission was defined as a VAI = 0, VAI infl = 0, MAGNIFI-CD = 0, or FS = 6.","Paper reports median scores and IQRs for VAI, MAGNIFI-CD, and FS at baseline for active vs healed groups. No direct correlations between scoring systems are reported. The VAI inflammatory subscore is mentioned but not included as a separate system. No MRI field strength or sequences specified.",0,3,2025-12-02 15:03:31.419995
IFTAK_(Interception_of_Fistulous_Tract_with_Application_of_Ksharasutra)_technique_a_minimally_invasi.pdf,2025.0,retrospective,10.0,adult,39.0,80.0,perianal fistulizing,,False,,,,,,100.0,"both the internal and external openings had closed without any discharge, pain, or swelling",IFTAK (Interception of Fistulous Tract with Application of Ksharasutra),12.0,0.3,1,"This retrospective study involved 10 patients with recurrent fistula-in-ano... Among 10 patients (8 males, 2 females; average age 39 years)... no recurrence observed in 10 patients over 12 months (1 year).","Validation issues: 1 validation error for ClinicalData
extraction_notes
  String should have at most 300 characters [ty",0,0,2025-12-02 15:03:31.419995
Bibliometric_analysis_of_global_research_trends_on_ultrasound_in_inflammatory_bowel_disease_A_quickl.pdf,2025.0,review,,,,,,,False,,,,,,,,,,0.7,1,"This is a bibliometric analysis reviewing trends in ultrasound research for IBD. It does not report primary clinical data, patient cohorts, or MRI scoring system results.","Paper is a bibliometric review of ultrasound literature in IBD. It mentions MRI as a comparator modality but does not contain any primary data on MRI scoring systems, patient populations, or correlations between scoring systems. No MRI scoring data to extract.",0,0,2025-12-02 15:03:31.419995
Inter-Rater_Reliability_is_Individual_Fairness.pdf,2023.0,theoretical note,,,,,,,False,,,,,,,,,,0.2,1,"This is a theoretical note on the connection between inter-rater reliability and individual fairness in predictive models. It does not contain any clinical data, patient populations, or MRI scoring systems related to Crohn's disease.","Paper is purely theoretical/methodological about fairness and reliability in ML, not a clinical study. No MRI, Crohn's disease, or scoring system data present.",0,0,2025-12-02 15:03:31.419995
A_multitask_deep_learning_model_for_real-time_deployment_in_embedded_systems.pdf,2017.0,,,,,,,,False,,,,,,,,,,0.2,1,"This paper is about computer vision and deep learning for object detection and semantic segmentation in general images (Pascal VOC, aerial views). It contains no mention of Crohn's disease, MRI, or any MRI scoring systems.",Paper is completely unrelated to Crohn's disease or MRI. It focuses on multitask deep learning for computer vision tasks. No clinical or MRI data to extract.,0,0,2025-12-02 15:03:31.419995
Calibration_of_individual-based_models_to_epidemiological_data_a_systematic_review.pdf,2020.0,systematic review,,,,,,,False,,,,,,,,,,0.2,1,"This paper is a systematic review of calibration methods for individual-based models (IBMs) of infectious diseases (HIV, malaria, TB). It does not contain any primary data on MRI scoring systems, Crohn's disease, or patient outcomes.","The provided content is a systematic review on calibration methods for epidemiological models, not a clinical research paper on MRI-based Crohn's disease. No relevant data for the specified schema could be extracted.",0,0,2025-12-02 15:03:31.419995
Clinical_Productivity_System_-_A_Decision_Support_Model.pdf,2010.0,retrospective,,,,,,,False,,,,,,,,,,0.2,1,"This paper describes a clinical productivity system (VPU) for behavioral healthcare using EHR data. It contains no mention of MRI, Crohn's disease, or any MRI scoring systems.","Paper is completely unrelated to MRI-based Crohn's disease research. No relevant data to extract for the specified schema. All fields related to MRI scoring, Crohn's disease, or clinical outcomes are null.",0,0,2025-12-02 15:03:31.419995
Preliminary_clinical_outcomes_of_irreversible_electroporation_in_the_management_of_prostatic_hyperpl.pdf,2025.0,retrospective,9.0,adult,59.0,100.0,,,False,,"T2-weighted imaging, dynamic enhanced imaging, diffusion-weighted imaging, PET-like imaging",,,,,,irreversible electroporation (IRE),6.0,0.7,1,"This study evaluates IRE for benign prostatic hyperplasia (BPH), not Crohn's disease. No MRI scoring systems for Crohn's disease (Van Assche, MAGNIFI-CD, etc.) are mentioned. MRI is used for postoperative assessment of prostate tissue.","Paper is about prostate hyperplasia treatment, not Crohn's disease. No relevant MRI scoring systems for Crohn's disease are discussed. Extraction is limited to basic study characteristics and MRI sequences mentioned, but these are not relevant to Crohn's disease MRI scoring.",0,0,2025-12-02 15:03:31.419995
Assessment_of_outcomes_in_Crohn's_disease_A_systematic_review_of_randomized_clinical_trials_to_infor.pdf,2024.0,systematic review,,adult,,,,,False,,,,,,,CDAI <150 (mentioned in context of composite outcome),,,0.3,1,"Radiological outcomes: Radiographic relapse (n = 1), radiographic activity (n = 1), and activity of the fistula tract at magnetic resonance imaging (MRI) (n = 1) were extracted; the respective OMI were the radiologist's disease assessment on barium studies of the small bowel (n = 1) and MRI (n = 1).","Validation issues: 1 validation error for ClinicalData
extraction_notes
  String should have at most 300 characters [ty",0,0,2025-12-02 15:03:31.419995
Non-targeted_metabolomics-based_molecular_networking_enables_the_chemical_characterization_of_Rumex.pdf,2025.0,,,,,,,,False,,,,,,,,,,0.2,1,"This paper is about metabolomics analysis of Rumex sanguineus (a plant), not about MRI-based Crohn's disease research. No MRI scoring systems, patient data, or clinical outcomes related to Crohn's disease are mentioned.","Paper is completely unrelated to MRI-based Crohn's disease research. It focuses on plant metabolomics, specifically analyzing anthraquinones, polyphenols, and other metabolites in Rumex sanguineus. No relevant data for extraction schema.",0,0,2025-12-02 15:03:31.419995
"Modeling_the_System-Level_Reliability_towards_a_Convergence_of_Communication,_Computing_and_Control.pdf",,,,,,,,,False,,,,,,,,,,0.2,1,"This paper is about communication-computation-control convergence (Co4) in industrial applications and wireless networks. It contains no mention of Crohn's disease, MRI, or any MRI scoring systems (Van Assche, MAGNIFI-CD, etc.).","Paper is completely unrelated to Crohn's disease or MRI. It is a technical paper on system reliability modeling for communication, computing, and control systems. No clinical data to extract.",0,0,2025-12-02 15:03:31.419995
Using_ResNet_to_Utilize_4-class_T2-FLAIR_Slice_Classification_Based_on_the_Cholinergic_Pathways_Hype.pdf,,prospective,180.0,adult,,,,,False,3T,T2-FLAIR,,,,,,,,0.4,1,"This paper is about Alzheimer's disease and dementia, focusing on cholinergic pathways hyperintensities scale (CHIPS) for T2-FLAIR MRI classification. It mentions Crohn's disease only in a table fragment that appears to be from a different paper.","Paper is about Alzheimer's/dementia MRI classification, not Crohn's disease. The Crohn's disease mention appears to be an artifact from a table fragment. No MRI scoring systems for Crohn's disease are mentioned.",0,0,2025-12-02 15:03:31.419995
Are_Radiomic_Spleen_Features_Useful_for_Assessing_the_Response_to_Infliximab_in_Patients_With_Crohn'.pdf,2024.0,retrospective,175.0,adult,,,luminal,,False,,,,,,,"PRO2 abdominal pain score ≤1, bowel frequency ≤3, or Harvey-Bradshaw index",infliximab,,0.7,1,"This study investigated the value of splenic radiomic features in evaluating the response of patients with CD to IFX treatment. The paper focuses on CTE (computed tomography enterography) radiomics of the spleen to predict infliximab response, not MRI scoring systems.","Paper focuses on CTE radiomics of spleen to predict infliximab response. No MRI scoring systems (Van Assche, MAGNIFI-CD, etc.) are mentioned. Clinical outcomes include clinical response rate (60%), clinical remission rate (34.3%), and endoscopic mucosal healing rate (5.7%).",0,0,2025-12-02 15:03:31.419995
Towards_Automatic_Generation_of_Shareable_Synthetic_Clinical_Notes_Using_Neural_Language_Models.pdf,,,,,,,,,False,,,,,,,,,,1.0,1,"This paper is about generating synthetic clinical notes using neural language models for privacy preservation and NLP utility. It does not mention Crohn's disease, MRI, or any MRI scoring systems.","The paper is entirely unrelated to Crohn's disease or MRI-based scoring systems. It focuses on natural language processing, synthetic data generation, and privacy measures for clinical notes. No relevant data to extract for the specified schema.",0,0,2025-12-02 15:03:31.419995
A_Golub-Welsch_version_for_simultaneous_Gaussian_quadrature.pdf,,,,,,,,,False,,,,,,,,,,0.2,1,"This paper is about numerical methods for simultaneous Gaussian quadrature using multiple orthogonal polynomials. It contains no clinical data, patient information, or MRI scoring systems related to Crohn's disease.","Paper is purely mathematical/computational about quadrature methods. No clinical or MRI data relevant to Crohn's disease extraction schema. Author Walter Van Assche is a mathematician, not the clinical researcher associated with the Van Assche MRI index.",0,0,2025-12-02 15:03:31.419995
Evaluating_the_impact_of_an_explainable_machine_learning_system_on_the_interobserver_agreement_in_ch.pdf,2023.0,prospective,400.0,,,,,,False,,,,,,,,,,0.2,1,"This paper is about chest X-ray interpretation and AI systems (VinDr-CXR), not about MRI-based Crohn's disease research. No MRI scoring systems, Crohn's disease populations, or relevant clinical outcomes are mentioned.",Paper is completely unrelated to MRI-based Crohn's disease research. It focuses on chest X-ray AI systems and interobserver agreement in thoracic disease diagnosis. No extractable data for the specified schema.,0,0,2025-12-02 15:03:31.419995
Bayesian_inference_and_role_of_astrocytes_in_amyloid-beta_dynamics_with_modelling_of_Alzheimer's_dis.pdf,2023.0,observational,1706.0,adult,,,,,False,,,,,,,,,24.0,0.3,1,"The datasets used in the preparation of this article were obtained from the Alzheimer’s Disease Neuroimaging Initiative (ADNI) database adni.loni.usc.edu. The primary goal of the ADNI has been to test whether serial magnetic resonance imaging (MRI), positron emission tomography (PET), other biological markers, and clinical and neuropsychological assessment can be combined to measure the progression of AD.","Validation issues: 1 validation error for ClinicalData
extraction_notes
  String should have at most 300 characters [ty",0,0,2025-12-02 15:03:31.419995
Randomization-Based_Inference_for_Average_Treatment_Effects_in_Inexactly_Matched_Observational_Studi.pdf,,methodological,,,,,,,False,,,,,,,,,,0.2,1,"This paper is a methodological statistics paper about causal inference in observational studies using matching methods. It does not mention Crohn's disease, MRI, or any MRI scoring systems (Van Assche, MAGNIFI-CD, mVAI, PEMPAC, Fibrosis Score). The content focuses on randomization-based inference, propensity scores, and bias correction for average treatment effects. There are no clinical data, patient populations, or MRI-based outcomes relevant to Crohn's disease research.",Paper is purely methodological about causal inference and matching techniques. No clinical data related to Crohn's disease or MRI scoring systems could be extracted.,0,0,2025-12-02 15:03:31.419995
Distinguishing_Clinical_Sentiment_The_Importance_of_Domain_Adaptation_in_Psychiatric_Patient_Health.pdf,,,,,,,,,False,,,,,,,,,,1.0,1,"This paper is about natural language processing and sentiment analysis of psychiatric electronic health records. It contains no mention of MRI, Crohn's disease, or any MRI scoring systems (Van Assche, MAGNIFI-CD, etc.).",Paper is completely unrelated to MRI-based Crohn's disease research. No relevant data to extract for the specified schema.,0,0,2025-12-02 15:03:31.419995
Correlation_between_computed_tomography_imaging_features_of_mesenteric_fat_and_inflammatory_activity.pdf,2025.0,retrospective,47.0,mixed,37.2,65.96,"mixed (non-stenosing non-penetrating, stenosing, penetrating, perianal)","Mesenteric Creeping Fat Index (MCFI), simplified CDAI",False,,T2-TSE-SPAIR,True,,,,CDAI total score ≤4 is the remission stage,,,0.3,2,"The study aimed to explore the correlation between computed tomography (CT) value distribution changes of mesenteric-surrounding fat in CD and disease activity. Quantitative measurements were obtained for mesenteric adipose tissue density. Mesenteric fat around the bowel were classified according to the MCFI. Based on the simplified CD activity index (CDAI) score, the patients were divided into a moderate-to-severe active CD group (>8 points), a mildly active CD group (5-7 points).","Validation issues: 1 validation error for ClinicalData
extraction_notes
  String should have at most 300 characters [ty",0,2,2025-12-02 15:03:31.419995
A_classification_of_van_der_Waerden_complexes_with_linear_resolution.pdf,,,,,,,,,False,,,,,,,,,,1.0,1,"This paper is about pure mathematics (van der Waerden complexes, simplicial complexes, Stanley-Reisner rings, linear resolutions, Cohen-Macaulay complexes, level rings). It contains no clinical data, no MRI data, no Crohn's disease information, and no scoring systems.",Paper is entirely mathematical/combinatorial with no clinical relevance to Crohn's disease or MRI scoring. No data to extract for the specified schema.,0,0,2025-12-02 15:03:31.419995
Orchestration_of_Starbirth_Activity_in_Disk_Galaxies_New_Perspectives_from_Ultraviolet_Imaging.pdf,1995.0,review,,,,,,,False,,,,,,,,,,0.2,1,"This paper is about ultraviolet imaging of disk galaxies and star formation patterns, with no mention of Crohn's disease, MRI, or any clinical scoring systems.","Paper is completely unrelated to Crohn's disease or MRI research. No clinical data, patient information, or scoring systems could be extracted. This appears to be an astronomy/astrophysics paper.",0,0,2025-12-02 15:03:31.419995
Intraoperative_Autologous_Platelet-Rich_Stroma_Injection_as_Add-On_to_Fistula_Curettage_and_Closure.pdf,2025.0,prospective,25.0,adult,34.4,44.0,perianal fistulizing,modified van Assche index,False,1.5T,T2-weighted,True,,,88.0,complete closure of all treated external opening(s) without discharge at physical examination,autologous platelet-rich stroma injection with fistula curettage and closure of internal orifice,44.4,0.3,3,The modified van Assche index was used to assess the radiologic severity of pCD... The modified van Assche Index decreased significantly from a median of 11 (IQR 9-16) points at baseline to 1 (IQR 1-3) points on the last available MRI (P < .001).,"Validation issues: 1 validation error for ClinicalData
extraction_notes
  String should have at most 300 characters [ty",0,1,2025-12-02 15:03:31.419995
Functional_Sequential_Treatment_Allocation_with_Covariates.pdf,2020.0,theoretical,,,,,,,False,,,,,,,,,,0.2,1,"This is a theoretical paper on multi-armed bandit problems with covariates and functional targets. It does not contain any clinical data, patient populations, or specific MRI scoring systems for Crohn's disease.","Paper is purely methodological, focusing on statistical theory for sequential treatment allocation. No mention of Crohn's disease, MRI, Van Assche, MAGNIFI-CD, or any other clinical scoring systems. The content is about abstract mathematical frameworks, not clinical studies.",0,0,2025-12-02 15:03:31.419995
Defining_mucosal_healing_in_randomized_controlled_trials_of_inflammatory_bowel_disease_A_systematic.pdf,2024.0,systematic review,,adult,,,,Magnetic Resonance Index of Activity (MaRIA),False,,,,,,,,,,0.3,2,"Only 1 RCT, the DIVERGENCE 1 phase 2 study of filgotinib for small bowel CD included transmural assessment as secondary endpoint. Transmural healing was defined as a centrally read Magnetic Resonance Index of Activity score <7 in all small bowel segments.","Validation issues: 1 validation error for ClinicalData
extraction_notes
  String should have at most 300 characters [ty",0,1,2025-12-02 15:03:31.419995
New_score_models_for_assessing_disease_activity_in_Crohn's_disease_based_on_bowel_ultrasound_and_bio.pdf,2023.0,retrospective,110.0,adult,30.38,65.5,"mixed (stricturing, penetrating, perianal)",,False,,,,,,,Mucosal healing defined as SES-CD ≤ 2; Transmural healing defined as CTE0 or CTE1 on CT enterography.,,,0.3,2,"The study establishes new score models (Model A and Model B) based on bowel ultrasound parameters (Limberg grade, bowel wall thickness) and biomarkers (ESR, ALB) to predict mucosal and transmural activity, using SES-CD and CTE as reference standards. No MRI scoring systems (Van Assche, MAGNIFI-CD, etc.) are mentioned or compared.","Validation issues: 1 validation error for ClinicalData
extraction_notes
  String should have at most 300 characters [ty",0,0,2025-12-02 15:03:31.419995
