source_file,intervention_name,intervention_category,n_total,n_success,success_rate_percent,followup_weeks,is_refractory,is_rct,dose_intensity,combo_therapy,oracle_vibe_score,outcome_type,prior_treatment,fistula_complexity,study_year,confidence_score,effective,stringency_score,stringency_x_vibe,stringency_x_refractory,adjusted_vibe,is_refractory_cohort,previous_biologic_failure,stringency_rating,dropout_rate,concomitant_meds_allowed,blinding,has_placebo_arm,analysis_type,primary_endpoint_type,extraction_confidence,exclusion_reason,sample_size,success_percentage,is_valid_trial,num_healed,data_source,success_class,blinding_Double-Blind,blinding_Open-Label,blinding_Single-Blind,blinding_Unknown,cat_Antibiotic,cat_Biologic,cat_Combination,cat_Other,cat_Small_Molecule,cat_Stem_Cell,cat_Surgical,intervention_category_Antibiotic,intervention_category_Biologic,intervention_category_Combination,intervention_category_Other,intervention_category_Small_Molecule,intervention_category_Stem_Cell,intervention_category_Surgical,blinding_Double-Blind.1,blinding_Open-Label.1,blinding_Single-Blind.1,blinding_Unknown.1,analysis_type_ITT,analysis_type_Modified-ITT,analysis_type_Per-Protocol,analysis_type_Unknown,primary_endpoint_type_Clinical,primary_endpoint_type_Combined,primary_endpoint_type_Endoscopic,primary_endpoint_type_Radiological,primary_endpoint_type_Unknown,study_group,sample_weight,is_small_cohort
De_2020_Role_of_Cardiac_Septal_Occluders_in_the_Treatment__PMC7003006.pdf,Cardiac Septal Occluders,Other,22.0,17.0,77.27,32.0,0.0,0.0,Unknown,0.0,70.0,Fistula_Closure,unknown,Unknown,2020.0,85.0,1.0,0.6,0.42,0.0,68.60000000000001,0.0,0.0,0.0,0.0,1.0,Unknown,0.0,Unknown,Unknown,Legacy,,22.0,,,,legacy,0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,b5c89402f740,0.5,1
Ding_2019_Resection_of_recurrent_third_branchial_cleft_fistu_PMC6906575.pdf,Resection of recurrent third branchial cleft fistulas assisted by flexible pharyngotomy,Surgical,12.0,12.0,100.0,260.0,1.0,0.0,Unknown,1.0,90.0,Fistula_Closure,unknown,Complex,2019.0,80.0,1.0,0.6,0.54,0.6,88.2,0.0,0.0,0.0,0.0,1.0,Unknown,0.0,Unknown,Unknown,Legacy,,12.0,,,,legacy,0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,ba576d87ff15,0.5,1
Fei_2021_Application_value_of_tissue_tuberculosis_antigen_c_PMC8161674.pdf,Xpert MTB/RIF assay and MTBC antigen detection,Combination,88.0,42.0,47.73,0.0,0.0,0.0,Unknown,1.0,70.0,Clinical,unknown,Unknown,2021.0,90.0,0.0,0.5,0.35,0.0,70.0,0.0,0.0,0.0,0.0,1.0,Unknown,0.0,Unknown,Unknown,Legacy,,88.0,,,,legacy,0,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,d32dd5b96520,0.5,0
Ding_2022_Can_transcutaneous_perianal_ultrasonography_be_the_PMC9707404.pdf,Transcutaneous perianal ultrasound,Other,203.0,187.0,92.0,0.0,0.0,0.0,Unknown,0.0,80.0,Radiological,unknown,Mixed,2022.0,90.0,1.0,0.8,0.64,0.0,75.2,0.0,0.0,0.0,0.0,1.0,Unknown,0.0,Unknown,Unknown,Legacy,,203.0,,,,legacy,0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,e21304b368f9,0.5,0
Bemelman_2009_Vacuum_assisted_closure_in_coloproctology._PMC2778770.pdf,Vacuum-assisted closure,Surgical,29.0,28.0,96.55,6.0,0.0,0.0,Standard,0.0,80.0,Clinical,unknown,Complex,2009.0,90.0,1.0,0.5,0.4,0.0,80.0,0.0,0.0,0.0,0.0,1.0,Unknown,0.0,Unknown,Unknown,Legacy,,29.0,,,,legacy,0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,286af8950f54,0.5,1
Meade_2022_A_retrospective_cohort_study_pre-operative_oral_en_PMC9544188.pdf,pre-operative oral enteral nutritional optimisation,Other,300.0,204.0,68.0,0.0,0.0,0.0,Standard,0.0,70.0,Clinical,mixed,Unknown,2022.0,80.0,1.0,0.5,0.35,0.0,70.0,0.0,0.0,0.0,0.0,1.0,Unknown,0.0,Unknown,Unknown,Legacy,,300.0,,,,legacy,0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,012621609a41,0.5,0
Boenicke_2020_Efficacy_of_conservative_treatment_of_perianal_abs_PMC7374001.pdf,Conservative treatment (hygiene and sitz baths) with or without intravenous antibiotics,Other,113.0,14.0,12.39,145.0,1.0,0.0,Unknown,1.0,50.0,Clinical,unknown,Unknown,2020.0,85.0,0.0,0.5,0.25,0.5,50.0,0.0,0.0,0.0,0.0,1.0,Unknown,0.0,Unknown,Unknown,Legacy,,113.0,,,,legacy,0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,dff6cb0d22a8,0.5,0
Akpoigbe_2023_Near_obstructing_painful_anorectal_mass_and_facial_PMC10643086.pdf,Tecovirimat (TPOXX) and HAART therapy,Combination,1.0,1.0,100.0,0.0,0.0,0.0,Unknown,1.0,50.0,Clinical,unknown,Complex,2023.0,80.0,1.0,0.5,0.25,0.0,50.0,0.0,0.0,0.0,0.0,1.0,Unknown,0.0,Unknown,Unknown,Legacy,,1.0,,,,legacy,0,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,ab79944825bf,0.5,1
Malekpour_2022_Risk_Factors_of_Recurrent_Anal_Abscess_in_Patients_PMC9637263.pdf,Surgical treatment of incision and drainage with or without fistulotomy/fistulectomy and antibiotic therapy,Surgical,203.0,58.0,28.6,208.0,0.0,0.0,Unknown,1.0,50.0,Clinical,unknown,Unknown,2022.0,85.0,0.0,0.5,0.25,0.0,50.0,0.0,0.0,0.0,0.0,1.0,Unknown,0.0,Unknown,Unknown,Legacy,,203.0,,,,legacy,0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,9e88a7df2b5a,0.5,0
Yeh_2021_Systemic_lupus_erythematosus_complicated_by_Crohn'_PMC8106151.pdf,Vedolizumab + Surgical Intervention,Combination,1.0,1.0,100.0,52.0,1.0,0.0,Unknown,1.0,70.0,Fistula_Closure,anti_tnf_failure,Complex,2021.0,85.0,1.0,0.6,0.42,0.6,68.60000000000001,0.0,0.0,0.0,0.0,1.0,Unknown,0.0,Unknown,Unknown,Legacy,,1.0,,,,legacy,0,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,0df7fce36d32,0.5,1
Yildirim_2025_Transanal_advancement_flap_in_a_female_patient_wit_PMC12450225.pdf,Transanal advancement flap,Surgical,1.0,1.0,100.0,8.0,0.0,0.0,Unknown,0.0,70.0,Fistula_Closure,unknown,Complex,2025.0,85.0,1.0,0.6,0.42,0.0,68.60000000000001,0.0,0.0,0.0,0.0,1.0,Unknown,0.0,Unknown,Unknown,Legacy,,1.0,,,,legacy,0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,cbbd8510437a,0.5,1
Enciso_2024_In_Situ_Treatment_of_Refractory_Perianal_Fistulas__PMC11591124.pdf,Low-Dose Allogeneic Adipose-Derived Mesenchymal Stem Cells,Stem_Cell,14.0,14.0,100.0,208.0,1.0,0.0,Standard,0.0,70.0,Fistula_Closure,unknown,Unknown,2024.0,90.0,1.0,0.6,0.42,0.6,68.60000000000001,0.0,0.0,0.0,0.0,1.0,Unknown,0.0,Unknown,Unknown,Legacy,,14.0,,,,legacy,0,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,e334d49d2d96,0.5,1
Xu_2017_Ligation_of_Intersphincteric_Fistula_Tract_Is_Suit_PMC5320375.pdf,Ligation of Intersphincteric Fistula Tract (LIFT),Surgical,55.0,33.0,60.0,69.714,1.0,0.0,Unknown,0.0,60.0,Fistula_Closure,bio_naive,Complex,2017.0,85.0,1.0,0.6,0.36,0.6,58.8,0.0,0.0,0.0,0.0,1.0,Unknown,0.0,Unknown,Unknown,Legacy,,55.0,,,,legacy,0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,dafa93d84704,0.5,0
He_2020_Formation_rate_of_secondary_anal_fistula_after_inc_PMC7204285.pdf,Incision and drainage,Surgical,187.0,105.0,56.15,52.0,0.0,0.0,Standard,0.0,60.0,Fistula_Closure,unknown,Mixed,2020.0,90.0,0.0,0.6,0.36,0.0,58.8,0.0,0.0,0.0,0.0,1.0,Unknown,0.0,Unknown,Unknown,Legacy,,187.0,,,,legacy,0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,bdb5cb7921c8,0.5,0
Li_2024_Classification_of_long-term_disease_patterns_in_in_PMC11552137.pdf,Latent class analysis (LCA),Other,8305.0,5617.0,67.6,832.0,0.0,0.0,Unknown,0.0,60.0,Clinical,mixed,Unknown,2024.0,80.0,1.0,0.5,0.3,0.0,60.0,0.0,0.0,0.0,0.0,1.0,Unknown,0.0,Unknown,Unknown,Legacy,,8305.0,,,,legacy,0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,ecc9d29c57c8,0.6651949469059735,0
Taniguchi_2021_Novel_TNFAIP3_microdeletion_in_a_girl_with_infanti_PMC7809258.pdf,Whole-exome sequencing (WES) and copy number variation (CNV) analysis,Other,1.0,1.0,100.0,0.0,0.0,0.0,Unknown,0.0,50.0,Clinical,unknown,Complex,2021.0,75.0,1.0,0.5,0.25,0.0,50.0,0.0,0.0,0.0,0.0,1.0,Unknown,0.0,Unknown,Unknown,Legacy,,1.0,,,,legacy,0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,2236503c3cfa,0.5,1
Feitosa_2021_Adjunctive_Hyperbaric_Oxygen_Therapy_in_Refractory_PMC8096584.pdf,Hyperbaric Oxygen Therapy (HBOT),Other,40.0,32.0,82.5,0.0,1.0,0.0,Standard,0.0,70.0,Fistula_Closure,mixed,Mixed,2021.0,90.0,1.0,0.6,0.42,0.6,68.60000000000001,0.0,0.0,0.0,0.0,1.0,Unknown,0.0,Unknown,Unknown,Legacy,,40.0,,,,legacy,0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,df9b213fd4d0,0.5,0
Beksac_2018_Treatment_of_Rectovaginal_Fistula_Using_Sphinctero_PMC5960505.pdf,Sphincteroplasty and Fistulectomy,Surgical,19.0,16.0,84.21,26.0,1.0,0.0,Standard,0.0,70.0,Fistula_Closure,mixed,Mixed,2018.0,85.0,1.0,0.6,0.42,0.6,68.60000000000001,0.0,0.0,0.0,0.0,1.0,Unknown,0.0,Unknown,Unknown,Legacy,,19.0,,,,legacy,0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,d09f597395b9,0.5,1
Basavaraju_2025_Magnetic_resonance_fistulography_with_percutaneous_PMC12421450.pdf,Magnetic resonance fistulography with percutaneous jelly,Other,40.0,37.0,92.5,0.0,0.0,0.0,Standard,0.0,80.0,Radiological,unknown,Mixed,2025.0,90.0,1.0,0.8,0.64,0.0,75.2,0.0,0.0,0.0,0.0,1.0,Unknown,0.0,Unknown,Unknown,Legacy,,40.0,,,,legacy,0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,2e14d51666ae,0.5,0
He_2023_Stigma_and_its_correlates_among_patients_with_Croh_PMC10401350.pdf,Stigma assessment,Other,146.0,125.0,85.6,0.0,0.0,0.0,Unknown,0.0,50.0,Other,unknown,Unknown,2023.0,80.0,1.0,0.6,0.3,0.0,49.00000000000001,0.0,0.0,0.0,0.0,1.0,Unknown,0.0,Unknown,Unknown,Legacy,,146.0,,,,legacy,0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,bc9abaf69d0b,0.5,0
Mitalas_2007_Repeat_transanal_advancement_flap_repair_impact_on_PMC2039788.pdf,Transanal advancement flap repair (TAFR),Surgical,87.0,58.0,67.0,65.0,0.0,0.0,Unknown,0.0,70.0,Fistula_Closure,unknown,Complex,2007.0,90.0,1.0,0.6,0.42,0.0,68.60000000000001,0.0,0.0,0.0,0.0,1.0,Unknown,0.0,Unknown,Unknown,Legacy,,87.0,,,,legacy,0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,97330d34a0d1,0.5,0
Hirata_2022_Massive_anorectal_abscess_caused_by_rectal_cancer._PMC9552988.pdf,Antimicrobial therapy and surgery,Combination,1.0,1.0,100.0,0.0,0.0,0.0,Unknown,1.0,50.0,Clinical,unknown,Unknown,2022.0,80.0,1.0,0.5,0.25,0.0,50.0,0.0,0.0,0.0,0.0,1.0,Unknown,0.0,Unknown,Unknown,Legacy,,1.0,,,,legacy,0,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,95936cf8cda5,0.5,1
Tan_2013_Managing_Deep_Postanal_Space_Sepsis_via_an_Intersp_PMC3659243.pdf,Intersphincteric approach for deep postanal space sepsis,Surgical,17.0,12.0,70.6,0.0,0.0,0.0,Unknown,0.0,70.0,Clinical,unknown,Complex,2013.0,90.0,1.0,0.5,0.35,0.0,70.0,0.0,0.0,0.0,0.0,1.0,Unknown,0.0,Unknown,Unknown,Legacy,,17.0,,,,legacy,0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,92296191579d,0.5,1
Hiraoka_2018_Efficacy_of_restarting_anti-tumor_necrosis_factor__PMC5797275.pdf,anti-TNFα antibodies,Biologic,36.0,1.0,2.78,0.0,1.0,0.0,Unknown,0.0,40.0,Clinical,anti_tnf_failure,Unknown,2018.0,80.0,0.0,0.5,0.2,0.5,40.0,0.0,0.0,0.0,0.0,1.0,Unknown,0.0,Unknown,Unknown,Legacy,,36.0,,,,legacy,0,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,6a3e2d1c33be,0.5,0
Ding_2025_Evaluation_of_the_RIFER_procedure_in_treating_high_PMC12123689.pdf,RIFER,Surgical,26.0,26.0,100.0,26.0,0.0,0.0,Unknown,0.0,85.0,Fistula_Closure,unknown,Complex,2025.0,90.0,1.0,0.6,0.51,0.0,83.30000000000001,0.0,0.0,0.0,0.0,1.0,Unknown,0.0,Unknown,Unknown,Legacy,,26.0,,,,legacy,0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,2f2cec38d75a,0.5,1
Lee_2021_Minimal_Lateral_Internal_Sphincterotomy_(LIS)_Is_I_PMC8566144.pdf,Minimal Lateral Internal Sphincterotomy (LIS),Surgical,468.0,449.0,95.94,8.0,1.0,0.0,Standard,0.0,70.0,Clinical,unknown,Unknown,2021.0,90.0,1.0,0.5,0.35,0.5,70.0,0.0,0.0,0.0,0.0,1.0,Unknown,0.0,Unknown,Unknown,Legacy,,468.0,,,,legacy,0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,46ac9993313b,0.5,0
Suzuki_2025_Two_Cases_of_Low_Intersphincteric_Anal_Fistulas_wi_PMC12574804.pdf,Fistulotomy and Fistulectomy,Surgical,2.0,2.0,100.0,8.0,0.0,0.0,Standard,0.0,70.0,Fistula_Closure,unknown,Simple,2025.0,80.0,1.0,0.6,0.42,0.0,68.60000000000001,0.0,0.0,0.0,0.0,1.0,Unknown,0.0,Unknown,Unknown,Legacy,,2.0,,,,legacy,0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,436f270dbde6,0.5,1
Norton_2015_Faecal_incontinence_intervention_study_(FINS)_self_PMC4594995.pdf,Self-management booklet information with or without nurse support,Other,186.0,0.0,0.0,26.0,0.0,1.0,Unknown,0.0,60.0,Clinical,unknown,Unknown,2015.0,80.0,0.0,1.0,0.6,0.0,54.00000000000001,0.0,0.0,0.0,0.0,1.0,Unknown,0.0,Unknown,Unknown,Legacy,,186.0,,,,legacy,0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,e229ab84ff27,0.5,0
Rumbolt_2019_A131_SURGICAL_DRAINAGE_OF_PERIANAL_FISTULAS_PRIOR__PMC6512470.pdf,Surgical drainage of fistulas prior to anti-TNF therapy,Surgical,143.0,108.0,75.5,0.0,1.0,0.0,Unknown,0.0,60.0,Clinical,mixed,Complex,2016.0,80.0,1.0,0.5,0.3,0.5,60.0,0.0,0.0,0.0,0.0,1.0,Unknown,0.0,Unknown,Unknown,Legacy,,143.0,,,,legacy,0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,139702f7603f,0.5,0
Boruah_2021_Role_of_Diffusion-Weighted_Imaging_in_the_Evaluati_PMC8299510.pdf,Diffusion-Weighted MRI,Other,47.0,47.0,100.0,0.0,0.0,0.0,Standard,0.0,70.0,Radiological,unknown,Mixed,2021.0,80.0,1.0,0.8,0.56,0.0,65.8,0.0,0.0,0.0,0.0,1.0,Unknown,0.0,Unknown,Unknown,Legacy,,47.0,,,,legacy,0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,8924ea5d8722,0.5,0
Park_2020_Safety_of_drainless_excision_of_the_submandibular__PMC9422518.pdf,Drainless excision of the submandibular gland,Surgical,23.0,21.0,91.3,0.0,0.0,0.0,Unknown,0.0,70.0,Clinical,unknown,Unknown,2020.0,90.0,1.0,0.5,0.35,0.0,70.0,0.0,0.0,0.0,0.0,1.0,Unknown,0.0,Unknown,Unknown,Legacy,,23.0,,,,legacy,0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,8c99f973f0c4,0.5,1
Mostafa_2025_Clinical_outcomes_of_conventional_versus_extended__PMC12174243.pdf,Extended Mesenteric Resection,Surgical,4358.0,0.0,0.0,0.0,0.0,1.0,Unknown,0.0,40.0,Clinical,unknown,Unknown,2025.0,90.0,0.0,1.0,0.4,0.0,36.00000000000001,0.0,0.0,0.0,0.0,1.0,Unknown,0.0,Unknown,Unknown,Legacy,,4358.0,,,,legacy,0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,4f1918e9b01b,0.6176727921923376,0
Lobascio_2018_Adipose-derived_stem_cells_(MYSTEM®_EVO_Technology_PMC5997716.pdf,Adipose-derived stem cells (MYSTEM® EVO Technology),Stem_Cell,1.0,1.0,100.0,52.0,0.0,0.0,Standard,0.0,80.0,Fistula_Closure,bio_naive,Complex,2018.0,90.0,1.0,0.6,0.48,0.0,78.4,0.0,0.0,0.0,0.0,1.0,Unknown,0.0,Unknown,Unknown,Legacy,,1.0,,,,legacy,0,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,dec8874e718e,0.5,1
Shirah_2018_The_Impact_of_the_Outcome_of_Treating_a_High_Anal__PMC6238808.pdf,Cutting seton with staged fistulotomy,Surgical,372.0,363.0,15.0,0.0,0.0,0.0,Standard,0.0,80.0,Fistula_Closure,unknown,Complex,2018.0,90.0,1.0,0.6,0.48,0.0,78.4,0.0,0.0,0.0,0.0,1.0,Unknown,0.0,Unknown,Unknown,Legacy,,372.0,,,,legacy,0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,7bc6b9bd814f,0.5,0
